Site,Species
ML1,Achillea millefolium
ML1,Centaurea nigra
ML1,Lathyrus pratensis
ML1,Leucanthemum vulgare
ML1,Lotus corniculatus
ML1,Plantago lanceolata
ML1,Prunella vulgaris
ML1,Ranunculus acris
ML1,Trifolium repens
ML1,Trifolium pratense
ML1,Cynosurus cristatus
ML1,Festuca rubra
ML1,Cirsium arvense
ML1,Deschampsia flexuosa
ML1,Holcus lanatus
ML2,Plantago lanceolata
ML2,Trifolium repens
ML2,Ranunculus repens
ML2,Galium verum
ML2,Holcus lanatus
ML2,Prunella vulgaris
ML2,Urtica dioica
ML2,Lotus corniculatus
ML2,Leucanthemum vulgare
ML2,Rumex acetosa
ML2,Achillea millefolium
ML2,Centaurea nigra
ML2,Agrostis capillaris
ML2,Trifolium pratense
ML2,Quercus robur (s)
ML2,Plantago major
MU1,Achillea millefolium
MU1,Centaurea nigra
MU1,Galium verum
MU1,Leucanthemum vulgare
MU1,Lotus corniculatus
MU1,Plantago lanceolata
MU1,Ranunculus acris
MU1,Ranunculus repens
MU1,Rumex acetosa
MU1,Trifolium repens
MU1,Trifolium pratense
MU1,Agrostis capillaris
MU1,Festuca rubra
MU1,Rumex obtusifolius
MU1,Cirsium arvense
MU1,Deschampsia flexuosa
MU1,Holcus lanatus
MU1,Cerastium fontanum
MU1,Taraxacum seedling/sp
MU1,Plantago major
MU1,Quercus seedling/sp
MU2,Plantago lanceolata
MU2,Centaurea nigra
MU2,Ranunculus repens
MU2,Agrostis capillaris
MU2,Cynosurus cristatus
MU2,Prunella vulgaris
MU2,Lotus corniculatus
MU2,Leucanthemum vulgare
MU2,Achillea millefolium
MU2,Trifolium pratense
MU2,Plantago major
MU2,Cirsium arvense
MU2,Taraxacum seedling/sp
MU2,Rumex acetosa
PL2,Cirsium arvense
PL2,Epilobium montanum
PL2,Cardamine pratensis
PL2,Ranunculus repens
PL2,Capsella bursa-pastoris
PL2,Arrhenatherum elatius
PL2,Brachythecium rutabulum
PL2,Agrostis capillaris
PL2,Urtica dioica
PL2,Cirsium palustre
PL2,Juncus effusus
PL2,Bidens cernua
PL2,Trifolium repens
PU2,Holcus lanatus
PU2,Achillea millefolium
PU2,Agrostis stolonifera
PU2,Ranunculus repens
PU2,Cerastium fontanum
PU2,Cirsium arvense
PU2,Trifolium repens
PU2,Lolium perenne
PU2,Lotus corniculatus
PU2,Trifolium dubium
PU2,Capsella bursa-pastoris
SL1,Lolium perenne
SL1,Agrostis capillaris
SL1,Holcus lanatus
SL1,Ranunculus repens
SL1,Rumex crispus
SL1,Sonchus arvensis
SL1,Geranium molle
SL1,Brachythecium rutabulum
SL1,Urtica dioica
SL1,Rumex sanguineus
SL1,Geranium columbinum
SL1,Rubus fruticosus agg (g)
SL1,Bromus hordeaceus
SL1,Galium aparine
SL1,Cirsium arvense
SL1,Thuidium tamariscinum
SL2,Epilobium hirsutum
SL2,Urtica dioica
SL2,Ranunculus repens
SL2,Calystegia sepium
SL2,Filipendula ulmaria
SL2,Galium aparine
SL2,Lathyrus pratensis
SL2,Holcus lanatus
SL2,Poa trivialis
SL2,Agrostis stolonifera
SL2,Arrhenatherum elatius
SL2,Cirsium arvense
SL2,Elytrigia repens
SL2,Dactylis glomerata
SL2,Rumex obtusifolius
SL2,Brachythecium rutabulum
SL2,Phalaris arundinacea
SL2,Stachys sylvatica
SL2,Symphytum officinale
SL2,Salix fragilis (s)
SL2,Impatiens glandulifera
SL2,Aegopodium podagraris
SL2,Agrostis capillaris
SL2,Rubus fruticosus agg (g)
SU1,Heracleum sphondylium
SU1,Holcus lanatus
SU1,Arrhenatherum elatius
SU1,Urtica dioica
SU1,Galium aparine
SU1,Sonchus arvensis
SU1,Crataegus monogyna (s)
SU1,Chamerion angustifolium
SU1,Brachythecium rutabulum
SU1,Cirsium arvense
SU1,Rubus fruticosus agg (g)
SU1,Bromus hordeaceus
SU1,Cerastium fontanum
SU1,Vicia hirsuta
SU1,Fallopia convolvulus
SU1,Veronica arvensis
SU1,Chenopodium album
SU1,Quercus robur (s)
SU1,Anthriscus sylvestris
SU1,Fraxinus excelsior (s)
SU1,Agrostis capillaris
SU1,Rumex obtusifolius
SU1,Ranunculus repens
SU1,Poa pratensis
SU1,Dactylis glomerata
SU1,Stachys sylvatica
SU1,Rumex crispus
SU2,Arrhenatherum elatius
SU2,Heracleum sphondylium
SU2,Cirsium arvense
SU2,Dactylis glomerata
SU2,Tanacetum vulgare
SU2,Salix caprea (s)
SU2,Rumex obtusifolius
SU2,Urtica dioica
SU2,Epilobium hirsutum
SU2,Stachys sylvatica
SU2,Anthriscus sylvestris
SU2,Rubus fruticosus agg (g)
SU2,Holcus lanatus
SU2,Galium aparine
SU2,Arctium minus
SU2,Sonchus asper
SU2,Juncus inflexus
SU2,Vicia hirsuta
SU2,Cerastium fontanum
SU2,Fallopia convolvulus
SU2,Hedera helix (g)
SU2,Glechoma hederacea
SU2,Sonchus arvensis
SU2,Epilobium montanum
SU2,Lolium perenne
SU2,Silene dioica
